interface,link_status,carrier_transitions,input_errors,bit_errors,errored_blocks,fec_corrected,fec_uncorrected,crc_errors,temperature,temp_high_alarm,temp_low_alarm,temp_high_warn,temp_low_warn,bias_current,bias_high_alarm,bias_low_alarm,tx_power_mw,tx_power_dbm,rx_power_mw,rx_power_dbm,rx_high_alarm,rx_low_alarm,rx_high_warn,rx_low_warn,timestamp,switch
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:26:19,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:26:19,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:26:19,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.691,Off,Off,1.054,0.23,0.771,-1.13,Off,Off,Off,Off,2026-09-01 11:26:19,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:31:20,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:31:20,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:31:20,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,39.0,Off,Off,Off,Off,6.679,Off,Off,1.052,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-01 11:31:20,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:36:21,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:36:21,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:36:21,sw-A
et-0/0/51,Up,1,0,0,0,0,0,0,38.0,Off,Off,Off,Off,6.677,Off,Off,1.051,0.22,0.771,-1.13,Off,Off,Off,Off,2026-09-01 11:36:21,sw-A
et-0/0/48,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:41:23,sw-A
et-0/0/49,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:41:23,sw-A
et-0/0/50,Up,1,0,0,0,0,0,0,,Off,Off,Off,Off,,Off,Off,,,,,Off,Off,Off,Off,2026-09-01 11:41:23,sw-A
